用户,是否看过,五星评分,评论时间,有用数,评论内容
棠枫海,看过,力荐,2019-04-24 02:23:59,23059,如果你不喜欢这部电影，说明他不是为你准备的，故事的终章是为读过故事的人准备的
二火山,看过,推荐,2019-04-24 03:47:19,56,刷了三遍，切身体验为，零剧透+IMAX+粉丝场为最佳观感。作为一部全民情怀向的终章，有遗憾但很圆满，每位观众对自己喜欢角色投入的感情决定了他们各自对复联4的理解，利用穿越时空来回溯过去是对观众十一年支持最好的礼物，那些意想不到的惊喜就像彩蛋一样埋在正片里，令人兴奋。漫威这个阶段的成功，离不开全球观众对一代复联倾注的感情，他们像家人一样，成为永驻我们内心的角色。
。,看过,力荐,2019-04-24 00:00:03,10279,献给我人生中最美好的十一年。谢谢你，漫威，谢谢你让我的青春有了一个最完美的结局
Tel,看过,推荐,2019-04-24 00:11:06,12212,我是一个90后，我曾经很羡慕“上一代人”：40年前的观众，他们的影院里有星战正传三部曲的落幕；20年前的观众，能在影院里看到指环王系列的终章。影迷们的悲欢并不相通，但现在我们也有了共同的记忆：漫威电影宇宙。谢谢你，《复仇者联盟》。
凌睿,看过,力荐,2019-04-24 00:01:17,9852,"托尼说好要回归家庭、陪伴家人，可最终还是选择了重出江湖，因为责任和使命，因为“我是钢铁侠”。
美队在《美队1》错过了和卡特的约会，错过了陪伴卡特的70年，《美队3》更是亲自送挚爱上路，感谢导演给了他一个完美的结局。
黑寡妇高尚、豪迈、英勇、无畏，和XX并列最伟大的复仇者。
雷神和XX好好告别、托尼和XX握手言和，让人热泪盈眶。
美队弥补了一生中最大的遗憾；
班纳和浩克和解；
鹰眼与家人团聚；
黑寡妇没有家人，因为复仇者就是她的家人……
结局太完美也太催泪了。
《复联3》化灰英雄集体回归的一幕震撼得无以言表。
最终战的规模丝毫不亚于《指环王》，相比《复联3》更是提高了至少五倍。
尤其是“妇联”出场太惊艳了，完美诠释女性力量。
十一年布局，22部电影，在《复联4》画上圆满的句号。
借用摩根·史塔克的话：漫威我爱你三千遍！"
Rafe,看过,力荐,2019-04-24 03:05:48,8556,钢铁侠成为了美队，美队活成了钢铁侠。
昊昊的说。,看过,力荐,2019-04-24 02:50:33,8123,"“I AM IRONMAN! ”
既是开始也是结束。谢谢钢铁侠，谢谢漫威给我们带来的欢笑、泪水、感动以及爱你的3000个日日夜夜。"
深夜的阿斯伯格,看过,推荐,2019-04-24 00:03:30,4025,对某人而言这就叫有始有终吧，这个时代的星战（90后终于有长达十年的情怀和回忆了）
桃桃淘电影,看过,推荐,2019-04-24 03:07:12,3170,用三个小时的时间，与大家告别。是集结，是重聚，是告别，是牺牲。作为系列的最终篇，确实已经努力做到最好了，有笑点、有泪点、也有燃点。这个世代结束了，下个世代再会！
KarSa,看过,力荐,2019-04-24 04:52:12,7245,谁能想到是一只老鼠拯救了地球呢？
雁落孤山,看过,力荐,2019-04-24 02:52:20,7119,I AM IRONMAN.
sunmmr丶sea,看过,推荐,2019-04-24 03:50:19,2879,搞不懂惊队吹这么久是为什么啥……感觉就是打了个酱油🙄🙄🙄
蜉蝣,看过,较差,2019-04-24 02:03:09,1771,一群好几百岁的人叽叽歪歪像一群青春期的小孩，三个小时的时长就靠没完没了的与过去的自己相遇+废话连篇。谁还没有个爱的人咋的！
梅西,看过,力荐,2019-04-24 02:40:40,6703,凡人之躯 比肩神明 最后真的泪目
X教授的傻儿子,看过,力荐,2019-04-24 03:30:39,6286,五星全给黑寡妇，她是最伟大的复仇者！！！
Theo,看过,力荐,2019-04-24 02:50:39,3657,I love you three thousand times.
